SampleID,Env,SourceSink,id
DLSse01,sediment,Sink,1
DLSse02,sediment,Sink,2
DLSse03,sediment,Sink,3
DPSse01,sediment,Sink,4
DPSse02,sediment,Sink,5
DPSse03,sediment,Sink,6
HLse01,sediment,Sink,7
HLse02,sediment,Sink,8
HLse03,sediment,Sink,9
SLTse01,sediment,Sink,10
SLTse02,sediment,Sink,11
SLTse03,sediment,Sink,12
SLse01,sediment,Sink,13
SLse02,sediment,Sink,14
SLse03,sediment,Sink,15
XSse01,sediment,Sink,16
XSse02,sediment,Sink,17
XSse03,sediment,Sink,18
DLSw202001,water,Sink,19
DLSw202002,water,Sink,20
DLSw202003,water,Sink,21
DPSw202001,water,Sink,22
DPSw202002,water,Sink,23
DPSw202003,water,Sink,24
HLw202001,water,Sink,25
HLw202002,water,Sink,26
HLw202003,water,Sink,27
SLTw202001,water,Sink,28
SLTw202002,water,Sink,29
SLTw202003,water,Sink,30
SLw202001,water,Sink,31
SLw202002,water,Sink,32
SLw202003,water,Sink,33
XSw202001,water,Sink,34
XSw202002,water,Sink,35
XSw202003,water,Sink,36
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DLSs01,soil,Source,NA
DLSs02,soil,Source,NA
DLSs03,soil,Source,NA
DLSt01,tree,Source,NA
DLSt02,tree,Source,NA
DLSt03,tree,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
DPSs202001,soil,Source,NA
DPSs202002,soil,Source,NA
DPSs202003,soil,Source,NA
DPSt01,tree,Source,NA
DPSt02,tree,Source,NA
DPSt03,tree,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
HLs202001,soil,Source,NA
HLs202002,soil,Source,NA
HLs202003,soil,Source,NA
HLt01,tree,Source,NA
HLt02,tree,Source,NA
HLt03,tree,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLTs202001,soil,Source,NA
SLTs202002,soil,Source,NA
SLTs202003,soil,Source,NA
SLTt01,tree,Source,NA
SLTt02,tree,Source,NA
SLTt03,tree,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
SLs01,soil,Source,NA
SLs02,soil,Source,NA
SLs03,soil,Source,NA
SLt01,tree,Source,NA
SLt02,tree,Source,NA
SLt03,tree,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
XSs202001,soil,Source,NA
XSs202002,soil,Source,NA
XSt01,tree,Source,NA
XSt02,tree,Source,NA
XSt03,tree,Source,NA
XsSs202003,soil,Source,NA
