SampleID,Env,SourceSink,id
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
DLSs01,soil,Sink,1
DLSs02,soil,Sink,2
DLSs03,soil,Sink,3
DPSs202001,soil,Sink,4
DPSs202002,soil,Sink,5
DPSs202003,soil,Sink,6
HLs202001,soil,Sink,7
HLs202002,soil,Sink,8
HLs202003,soil,Sink,9
SLTs202001,soil,Sink,10
SLTs202002,soil,Sink,11
SLTs202003,soil,Sink,12
SLs01,soil,Sink,13
SLs02,soil,Sink,14
SLs03,soil,Sink,15
XSs202001,soil,Sink,16
XSs202002,soil,Sink,17
XsSs202003,soil,Sink,18
