SampleID,Env,SourceSink,id
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
DLSw202001,water,Sink,1
DLSw202002,water,Sink,2
DLSw202003,water,Sink,3
DPSw202001,water,Sink,4
DPSw202002,water,Sink,5
DPSw202003,water,Sink,6
HLw202001,water,Sink,7
HLw202002,water,Sink,8
HLw202003,water,Sink,9
SLTw202001,water,Sink,10
SLTw202002,water,Sink,11
SLTw202003,water,Sink,12
SLw202001,water,Sink,13
SLw202002,water,Sink,14
SLw202003,water,Sink,15
XSw202001,water,Sink,16
XSw202002,water,Sink,17
XSw202003,water,Sink,18
