SampleID,Env,SourceSink,id
DLSse01,sediment,Source,NA
DLSse02,sediment,Source,NA
DLSse03,sediment,Source,NA
DPSse01,sediment,Source,NA
DPSse02,sediment,Source,NA
DPSse03,sediment,Source,NA
HLse01,sediment,Source,NA
HLse02,sediment,Source,NA
HLse03,sediment,Source,NA
SLTse01,sediment,Source,NA
SLTse02,sediment,Source,NA
SLTse03,sediment,Source,NA
SLse01,sediment,Source,NA
SLse02,sediment,Source,NA
SLse03,sediment,Source,NA
XSse01,sediment,Source,NA
XSse02,sediment,Source,NA
XSse03,sediment,Source,NA
DLSm01,moss,Sink,1
DLSm02,moss,Sink,2
DLSm03,moss,Sink,3
DPSm01,moss,Sink,4
DPSm02,moss,Sink,5
DPSm03,moss,Sink,6
HLm01,moss,Sink,7
HLm02,moss,Sink,8
HLm03,moss,Sink,9
SLTm01,moss,Sink,10
SLTm02,moss,Sink,11
SLTm03,moss,Sink,12
SLm01,moss,Sink,13
SLm02,moss,Sink,14
SLm03,moss,Sink,15
XSm01,moss,Sink,16
XSm02,moss,Sink,17
XSm03,moss,Sink,18
