SampleID,Env,SourceSink,id
DLSs01,sediment,Sink,1
DLSs02,sediment,Sink,2
DLSs03,sediment,Sink,3
DPSs202001,sediment,Sink,4
DPSs202002,sediment,Sink,5
DPSs202003,sediment,Sink,6
HLs202001,sediment,Sink,7
HLs202002,sediment,Sink,8
HLs202003,sediment,Sink,9
SLTs202001,sediment,Sink,10
SLTs202002,sediment,Sink,11
SLTs202003,sediment,Sink,12
SLs01,sediment,Sink,13
SLs02,sediment,Sink,14
SLs03,sediment,Sink,15
XSs202001,sediment,Sink,16
XSs202002,sediment,Sink,17
XsSs202003,sediment,Sink,18
DLSse01,soil,Source,NA
DLSse02,soil,Source,NA
DLSse03,soil,Source,NA
DPSse01,soil,Source,NA
DPSse02,soil,Source,NA
DPSse03,soil,Source,NA
HLse01,soil,Source,NA
HLse02,soil,Source,NA
HLse03,soil,Source,NA
SLTse01,soil,Source,NA
SLTse02,soil,Source,NA
SLTse03,soil,Source,NA
SLse01,soil,Source,NA
SLse02,soil,Source,NA
SLse03,soil,Source,NA
XSse01,soil,Source,NA
XSse02,soil,Source,NA
XSse03,soil,Source,NA
