SampleID,Env,SourceSink,id
DLSse01,sediment,Source,NA
DLSse02,sediment,Source,NA
DLSse03,sediment,Source,NA
DPSse01,sediment,Source,NA
DPSse02,sediment,Source,NA
DPSse03,sediment,Source,NA
HLse01,sediment,Source,NA
HLse02,sediment,Source,NA
HLse03,sediment,Source,NA
SLse01,sediment,Source,NA
SLse02,sediment,Source,NA
SLse03,sediment,Source,NA
SLTse01,sediment,Source,NA
SLTse02,sediment,Source,NA
SLTse03,sediment,Source,NA
XSse01,sediment,Source,NA
XSse02,sediment,Source,NA
XSse03,sediment,Source,NA
DLSw202001,water,Sink,1
DLSw202002,water,Sink,2
DLSw202003,water,Sink,3
DPSw202001,water,Sink,4
DPSw202002,water,Sink,5
DPSw202003,water,Sink,6
HLw202001,water,Sink,7
HLw202002,water,Sink,8
HLw202003,water,Sink,9
SLTw202001,water,Sink,10
SLTw202002,water,Sink,11
SLTw202003,water,Sink,12
SLw202001,water,Sink,13
SLw202002,water,Sink,14
SLw202003,water,Sink,15
XSw202001,water,Sink,16
XSw202002,water,Sink,17
XSw202003,water,Sink,18
