SampleID,Env,SourceSink,id
DLSm01,moss,Sink,1
DLSm02,moss,Sink,2
DLSm03,moss,Sink,3
DPSm01,moss,Sink,4
DPSm02,moss,Sink,5
DPSm03,moss,Sink,6
HLm01,moss,Sink,7
HLm02,moss,Sink,8
HLm03,moss,Sink,9
SLTm01,moss,Sink,10
SLTm02,moss,Sink,11
SLTm03,moss,Sink,12
SLm01,moss,Sink,13
SLm02,moss,Sink,14
SLm03,moss,Sink,15
XSm01,moss,Sink,16
XSm02,moss,Sink,17
XSm03,moss,Sink,18
DLSs01,soil,Source,NA
DLSs02,soil,Source,NA
DLSs03,soil,Source,NA
DPSs202001,soil,Source,NA
DPSs202002,soil,Source,NA
DPSs202003,soil,Source,NA
HLs202001,soil,Source,NA
HLs202002,soil,Source,NA
HLs202003,soil,Source,NA
SLTs202001,soil,Source,NA
SLTs202002,soil,Source,NA
SLTs202003,soil,Source,NA
SLs01,soil,Source,NA
SLs02,soil,Source,NA
SLs03,soil,Source,NA
XSs202001,soil,Source,NA
XSs202002,soil,Source,NA
XsSs202003,soil,Source,NA
