SampleID,Env,SourceSink,id
DLSse01,sediment,Source,NA
DLSse02,sediment,Source,NA
DLSse03,sediment,Source,NA
DPSse01,sediment,Source,NA
DPSse02,sediment,Source,NA
DPSse03,sediment,Source,NA
HLse01,sediment,Source,NA
HLse02,sediment,Source,NA
HLse03,sediment,Source,NA
SLTse01,sediment,Source,NA
SLTse02,sediment,Source,NA
SLTse03,sediment,Source,NA
SLse01,sediment,Source,NA
SLse02,sediment,Source,NA
SLse03,sediment,Source,NA
XSse01,sediment,Source,NA
XSse02,sediment,Source,NA
XSse03,sediment,Source,NA
DLSt01,tree,Sink,1
DLSt02,tree,Sink,2
DLSt03,tree,Sink,3
DPSt01,tree,Sink,4
DPSt02,tree,Sink,5
DPSt03,tree,Sink,6
HLt01,tree,Sink,7
HLt02,tree,Sink,8
HLt03,tree,Sink,9
SLTt01,tree,Sink,10
SLTt02,tree,Sink,11
SLTt03,tree,Sink,12
SLt01,tree,Sink,13
SLt02,tree,Sink,14
SLt03,tree,Sink,15
XSt01,tree,Sink,16
XSt02,tree,Sink,17
XSt03,tree,Sink,18
