SampleID,Env,SourceSink,id
DLSt01,tree,Source,NA
DLSt02,tree,Source,NA
DLSt03,tree,Source,NA
DPSt01,tree,Source,NA
DPSt02,tree,Source,NA
DPSt03,tree,Source,NA
HLt01,tree,Source,NA
HLt02,tree,Source,NA
HLt03,tree,Source,NA
SLTt01,tree,Source,NA
SLTt02,tree,Source,NA
SLTt03,tree,Source,NA
SLt01,tree,Source,NA
SLt02,tree,Source,NA
SLt03,tree,Source,NA
XSt01,tree,Source,NA
XSt02,tree,Source,NA
XSt03,tree,Source,NA
DLSw202001,water,Sink,1
DLSw202002,water,Sink,2
DLSw202003,water,Sink,3
DPSw202001,water,Sink,4
DPSw202002,water,Sink,5
DPSw202003,water,Sink,6
HLw202001,water,Sink,7
HLw202002,water,Sink,8
HLw202003,water,Sink,9
SLTw202001,water,Sink,10
SLTw202002,water,Sink,11
SLTw202003,water,Sink,12
SLw202001,water,Sink,13
SLw202002,water,Sink,14
SLw202003,water,Sink,15
XSw202001,water,Sink,16
XSw202002,water,Sink,17
XSw202003,water,Sink,18
