SampleID,Env,SourceSink,id
DLSm01,moss,Sink,1
DLSm02,moss,Sink,2
DLSm03,moss,Sink,3
DPSm01,moss,Sink,4
DPSm02,moss,Sink,5
DPSm03,moss,Sink,6
HLm01,moss,Sink,7
HLm02,moss,Sink,8
HLm03,moss,Sink,9
SLTm01,moss,Sink,10
SLTm02,moss,Sink,11
SLTm03,moss,Sink,12
SLm01,moss,Sink,13
SLm02,moss,Sink,14
SLm03,moss,Sink,15
XSm01,moss,Sink,16
XSm02,moss,Sink,17
XSm03,moss,Sink,18
DLSw202001,water,Source,NA
DLSw202002,water,Source,NA
DLSw202003,water,Source,NA
DPSw202001,water,Source,NA
DPSw202002,water,Source,NA
DPSw202003,water,Source,NA
HLw202001,water,Source,NA
HLw202002,water,Source,NA
HLw202003,water,Source,NA
SLTw202001,water,Source,NA
SLTw202002,water,Source,NA
SLTw202003,water,Source,NA
SLw202001,water,Source,NA
SLw202002,water,Source,NA
SLw202003,water,Source,NA
XSw202001,water,Source,NA
XSw202002,water,Source,NA
XSw202003,water,Source,NA
