SampleID,Env,SourceSink,id
DLSs01,soil,Sink,1
DLSs02,soil,Sink,2
DLSs03,soil,Sink,3
DPSs202001,soil,Sink,4
DPSs202002,soil,Sink,5
DPSs202003,soil,Sink,6
HLs202001,soil,Sink,7
HLs202002,soil,Sink,8
HLs202003,soil,Sink,9
SLTs202001,soil,Sink,10
SLTs202002,soil,Sink,11
SLTs202003,soil,Sink,12
SLs01,soil,Sink,13
SLs02,soil,Sink,14
SLs03,soil,Sink,15
XSs202001,soil,Sink,16
XSs202002,soil,Sink,17
XsSs202003,soil,Sink,18
DLSw202001,water,Source,NA
DLSw202002,water,Source,NA
DLSw202003,water,Source,NA
DPSw202001,water,Source,NA
DPSw202002,water,Source,NA
DPSw202003,water,Source,NA
HLw202001,water,Source,NA
HLw202002,water,Source,NA
HLw202003,water,Source,NA
SLTw202001,water,Source,NA
SLTw202002,water,Source,NA
SLTw202003,water,Source,NA
SLw202001,water,Source,NA
SLw202002,water,Source,NA
SLw202003,water,Source,NA
XSw202001,water,Source,NA
XSw202002,water,Source,NA
XSw202003,water,Source,NA
