SampleID,Env,SourceSink,id
DLSt01,tree,Sink,1
DLSt02,tree,Sink,2
DLSt03,tree,Sink,3
DPSt01,tree,Sink,4
DPSt02,tree,Sink,5
DPSt03,tree,Sink,6
HLt01,tree,Sink,7
HLt02,tree,Sink,8
HLt03,tree,Sink,9
SLTt01,tree,Sink,10
SLTt02,tree,Sink,11
SLTt03,tree,Sink,12
SLt01,tree,Sink,13
SLt02,tree,Sink,14
SLt03,tree,Sink,15
XSt01,tree,Sink,16
XSt02,tree,Sink,17
XSt03,tree,Sink,18
DLSw202001,water,Source,NA
DLSw202002,water,Source,NA
DLSw202003,water,Source,NA
DPSw202001,water,Source,NA
DPSw202002,water,Source,NA
DPSw202003,water,Source,NA
HLw202001,water,Source,NA
HLw202002,water,Source,NA
HLw202003,water,Source,NA
SLTw202001,water,Source,NA
SLTw202002,water,Source,NA
SLTw202003,water,Source,NA
SLw202001,water,Source,NA
SLw202002,water,Source,NA
SLw202003,water,Source,NA
XSw202001,water,Source,NA
XSw202002,water,Source,NA
XSw202003,water,Source,NA
