SampleID,Env,SourceSink,id
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
DLSt01,tree,Sink,1
DLSt02,tree,Sink,2
DLSt03,tree,Sink,3
DPSt01,tree,Sink,4
DPSt02,tree,Sink,5
DPSt03,tree,Sink,6
HLt01,tree,Sink,7
HLt02,tree,Sink,8
HLt03,tree,Sink,9
SLTt01,tree,Sink,10
SLTt02,tree,Sink,11
SLTt03,tree,Sink,12
SLt01,tree,Sink,13
SLt02,tree,Sink,14
SLt03,tree,Sink,15
XSt01,tree,Sink,16
XSt02,tree,Sink,17
XSt03,tree,Sink,18
