,DLSse01,DLSse02,DLSse03,DLSt01,DLSt02,DLSt03,DPSse01,DPSse02,DPSse03,DPSt01,DPSt02,DPSt03,HLse01,HLse02,HLse03,HLt01,HLt02,HLt03,SLTse01,SLTse02,SLTse03,SLTt01,SLTt02,SLTt03,SLse01,SLse02,SLse03,SLt01,SLt02,SLt03,XSse01,XSse02,XSse03,XSt01,XSt02,XSt03
Zotu1,7371,4360,4373,0,0,0,1,1,0,0,0,0,374,222,198,0,0,0,222,121,128,0,0,0,429,520,748,0,159,1,3,0,8,0,383,0
Zotu10,0,3,0,0,0,0,0,0,1,0,0,0,6,52,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0
Zotu100,135,0,0,254,3321,281,0,0,0,2,2,46,0,0,0,4124,191,285,0,0,0,160,146,1,0,0,0,276,71,104,0,0,0,346,294,1146
Zotu1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,13,68,0,0,0
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Zotu10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0
Zotu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0
Zotu10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Zotu1001,0,0,0,27,14,60,0,0,0,3,4,7,0,0,0,38,0,8,0,0,0,25,1,5,0,0,0,4,4,11,0,0,0,1,1,7
Zotu10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,9
Zotu10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
