,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs202001,DPSs202002,DPSs202003,DPSt01,DPSt02,DPSt03,HLs202001,HLs202002,HLs202003,HLt01,HLt02,HLt03,SLTs202001,SLTs202002,SLTs202003,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs202001,XSs202002,XSt01,XSt02,XSt03,XsSs202003
Zotu1,180,2,122,0,0,0,3419,6409,4794,0,0,0,4245,21,3708,0,0,0,23164,3300,1996,0,0,0,2,1,0,0,159,1,4,22,0,383,0,17
Zotu10,0,0,0,0,0,0,20,299,50,0,0,0,2,613,394,0,0,0,3,2171,329,0,0,0,0,0,0,0,0,0,58,397,0,0,0,85
Zotu100,0,33,0,254,3321,281,0,0,2,2,2,46,31,31,399,4124,191,285,9,0,0,160,146,1,1,70,0,276,71,104,0,0,346,294,1146,0
Zotu10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,1
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,1,0,1,0
Zotu10008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,0,0,0,0,0,0,0,0,0
Zotu10009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1001,0,0,0,27,14,60,0,0,0,3,4,7,2,3,16,38,0,8,6,3,2,25,1,5,0,0,0,4,4,11,1,1,1,1,7,2
Zotu10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,9,0
Zotu10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Zotu10013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0
Zotu10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
Zotu10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,0,0,0
Zotu10016,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,1,0,0,0
Zotu10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1002,0,0,0,259,11,28,0,0,0,24,8,10,6,11,53,23,54,11,1,0,0,24,24,220,0,0,0,22,3,12,0,0,18,5,14,0
Zotu10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
Zotu10025,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Zotu10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Zotu10028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10029,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,12
