SampleID,Env,SourceSink,id
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
DLSse01,sediment,Sink,1
DLSse02,sediment,Sink,2
DLSse03,sediment,Sink,3
DPSse01,sediment,Sink,4
DPSse02,sediment,Sink,5
DPSse03,sediment,Sink,6
HLse01,sediment,Sink,7
HLse02,sediment,Sink,8
HLse03,sediment,Sink,9
SLTse01,sediment,Sink,10
SLTse02,sediment,Sink,11
SLTse03,sediment,Sink,12
SLse01,sediment,Sink,13
SLse02,sediment,Sink,14
SLse03,sediment,Sink,15
XSse01,sediment,Sink,16
XSse02,sediment,Sink,17
XSse03,sediment,Sink,18
