SampleID,Env,SourceSink,id
DLSm01,moss,Source,NA
DLSm02,moss,Source,NA
DLSm03,moss,Source,NA
DPSm01,moss,Source,NA
DPSm02,moss,Source,NA
DPSm03,moss,Source,NA
HLm01,moss,Source,NA
HLm02,moss,Source,NA
HLm03,moss,Source,NA
SLTm01,moss,Source,NA
SLTm02,moss,Source,NA
SLTm03,moss,Source,NA
SLm01,moss,Source,NA
SLm02,moss,Source,NA
SLm03,moss,Source,NA
XSm01,moss,Source,NA
XSm02,moss,Source,NA
XSm03,moss,Source,NA
DLSw01,water,Sink,1
DLSw02,water,Sink,2
DLSw03,water,Sink,3
DPSw01,water,Sink,4
DPSw02,water,Sink,5
DPSw03,water,Sink,6
HLw01,water,Sink,7
HLw02,water,Sink,8
HLw03,water,Sink,9
SLTw01,water,Sink,10
SLTw02,water,Sink,11
SLTw03,water,Sink,12
SLw01,water,Sink,13
SLw02,water,Sink,14
SLw03,water,Sink,15
XSw01,water,Sink,16
XSw02,water,Sink,17
XSw03,water,Sink,18
