SampleID,Env,SourceSink,id
DLSs01,soil,Sink,1
DLSs02,soil,Sink,2
DLSs03,soil,Sink,3
DPSs01,soil,Sink,4
DPSs02,soil,Sink,5
DPSs03,soil,Sink,6
HLs01,soil,Sink,7
HLs02,soil,Sink,8
HLs03,soil,Sink,9
SLTs01,soil,Sink,10
SLTs02,soil,Sink,11
SLTs03,soil,Sink,12
SLs01,soil,Sink,13
SLs02,soil,Sink,14
SLs03,soil,Sink,15
XSs01,soil,Sink,16
XSs02,soil,Sink,17
XSs03,soil,Sink,18
DLSse01,sediment,Source,NA
DLSse02,sediment,Source,NA
DLSse03,sediment,Source,NA
DPSse01,sediment,Source,NA
DPSse02,sediment,Source,NA
DPSse03,sediment,Source,NA
HLse01,sediment,Source,NA
HLse02,sediment,Source,NA
HLse03,sediment,Source,NA
SLTse01,sediment,Source,NA
SLTse02,sediment,Source,NA
SLTse03,sediment,Source,NA
SLse01,sediment,Source,NA
SLse02,sediment,Source,NA
SLse03,sediment,Source,NA
XSse01,sediment,Source,NA
XSse02,sediment,Source,NA
XSse03,sediment,Source,NA
