SampleID,Env,SourceSink,id
DLSs01,soil,Source,NA
DLSs02,soil,Source,NA
DLSs03,soil,Source,NA
DPSs01,soil,Source,NA
DPSs02,soil,Source,NA
DPSs03,soil,Source,NA
HLs01,soil,Source,NA
HLs02,soil,Source,NA
HLs03,soil,Source,NA
SLTs01,soil,Source,NA
SLTs02,soil,Source,NA
SLTs03,soil,Source,NA
SLs01,soil,Source,NA
SLs02,soil,Source,NA
SLs03,soil,Source,NA
XSs01,soil,Source,NA
XSs02,soil,Source,NA
XSs03,soil,Source,NA
DLSse01,sediment,Sink,1
DLSse02,sediment,Sink,2
DLSse03,sediment,Sink,3
DPSse01,sediment,Sink,4
DPSse02,sediment,Sink,5
DPSse03,sediment,Sink,6
HLse01,sediment,Sink,7
HLse02,sediment,Sink,8
HLse03,sediment,Sink,9
SLTse01,sediment,Sink,10
SLTse02,sediment,Sink,11
SLTse03,sediment,Sink,12
SLse01,sediment,Sink,13
SLse02,sediment,Sink,14
SLse03,sediment,Sink,15
XSse01,sediment,Sink,16
XSse02,sediment,Sink,17
XSse03,sediment,Sink,18
