SampleID,Env,SourceSink,id
DLSs01,soil,Sink,1
DLSs02,soil,Sink,2
DLSs03,soil,Sink,3
DPSs01,soil,Sink,4
DPSs02,soil,Sink,5
DPSs03,soil,Sink,6
HLs01,soil,Sink,7
HLs02,soil,Sink,8
HLs03,soil,Sink,9
SLTs01,soil,Sink,10
SLTs02,soil,Sink,11
SLTs03,soil,Sink,12
SLs01,soil,Sink,13
SLs02,soil,Sink,14
SLs03,soil,Sink,15
XSs01,soil,Sink,16
XSs02,soil,Sink,17
XSs03,soil,Sink,18
DLSt01,tree,Source,NA
DLSt02,tree,Source,NA
DLSt03,tree,Source,NA
DPSt01,tree,Source,NA
DPSt02,tree,Source,NA
DPSt03,tree,Source,NA
HLt01,tree,Source,NA
HLt02,tree,Source,NA
HLt03,tree,Source,NA
SLTt01,tree,Source,NA
SLTt02,tree,Source,NA
SLTt03,tree,Source,NA
SLt01,tree,Source,NA
SLt02,tree,Source,NA
SLt03,tree,Source,NA
XSt01,tree,Source,NA
XSt02,tree,Source,NA
XSt03,tree,Source,NA
