SampleID,Env,SourceSink,id
DLSt01,tree,Source,NA
DLSt02,tree,Source,NA
DLSt03,tree,Source,NA
DPSt01,tree,Source,NA
DPSt02,tree,Source,NA
DPSt03,tree,Source,NA
HLt01,tree,Source,NA
HLt02,tree,Source,NA
HLt03,tree,Source,NA
SLTt01,tree,Source,NA
SLTt02,tree,Source,NA
SLTt03,tree,Source,NA
SLt01,tree,Source,NA
SLt02,tree,Source,NA
SLt03,tree,Source,NA
XSt01,tree,Source,NA
XSt02,tree,Source,NA
XSt03,tree,Source,NA
DLSm01,moss,Sink,1
DLSm02,moss,Sink,2
DLSm03,moss,Sink,3
DPSm01,moss,Sink,4
DPSm02,moss,Sink,5
DPSm03,moss,Sink,6
HLm01,moss,Sink,7
HLm02,moss,Sink,8
HLm03,moss,Sink,9
SLTm01,moss,Sink,10
SLTm02,moss,Sink,11
SLTm03,moss,Sink,12
SLm01,moss,Sink,13
SLm02,moss,Sink,14
SLm03,moss,Sink,15
XSm01,moss,Sink,16
XSm02,moss,Sink,17
XSm03,moss,Sink,18
