SampleID,Env,SourceSink,id
DLSm01,moss,Sink,1
DLSm02,moss,Sink,2
DLSm03,moss,Sink,3
DPSm01,moss,Sink,4
DPSm02,moss,Sink,5
DPSm03,moss,Sink,6
HLm01,moss,Sink,7
HLm02,moss,Sink,8
HLm03,moss,Sink,9
SLTm01,moss,Sink,10
SLTm02,moss,Sink,11
SLTm03,moss,Sink,12
SLm01,moss,Sink,13
SLm02,moss,Sink,14
SLm03,moss,Sink,15
XSm01,moss,Sink,16
XSm02,moss,Sink,17
XSm03,moss,Sink,18
DLSw01,water,Source,NA
DLSw02,water,Source,NA
DLSw03,water,Source,NA
DPSw01,water,Source,NA
DPSw02,water,Source,NA
DPSw03,water,Source,NA
HLw01,water,Source,NA
HLw02,water,Source,NA
HLw03,water,Source,NA
SLTw01,water,Source,NA
SLTw02,water,Source,NA
SLTw03,water,Source,NA
SLw01,water,Source,NA
SLw02,water,Source,NA
SLw03,water,Source,NA
XSw01,water,Source,NA
XSw02,water,Source,NA
XSw03,water,Source,NA
