SampleID,Env,SourceSink,id
DLSse01,sediment,Sink,1
DLSse02,sediment,Sink,2
DLSse03,sediment,Sink,3
DPSse01,sediment,Sink,4
DPSse02,sediment,Sink,5
DPSse03,sediment,Sink,6
HLse01,sediment,Sink,7
HLse02,sediment,Sink,8
HLse03,sediment,Sink,9
SLTse01,sediment,Sink,10
SLTse02,sediment,Sink,11
SLTse03,sediment,Sink,12
SLse01,sediment,Sink,13
SLse02,sediment,Sink,14
SLse03,sediment,Sink,15
XSse01,sediment,Sink,16
XSse02,sediment,Sink,17
XSse03,sediment,Sink,18
DLSw01,water,Source,NA
DLSw02,water,Source,NA
DLSw03,water,Source,NA
DPSw01,water,Source,NA
DPSw02,water,Source,NA
DPSw03,water,Source,NA
HLw01,water,Source,NA
HLw02,water,Source,NA
HLw03,water,Source,NA
SLTw01,water,Source,NA
SLTw02,water,Source,NA
SLTw03,water,Source,NA
SLw01,water,Source,NA
SLw02,water,Source,NA
SLw03,water,Source,NA
XSw01,water,Source,NA
XSw02,water,Source,NA
XSw03,water,Source,NA
