,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu1,8,1,0,6,11,13,12,39,3,0,6,0,1,1,3,10,10,20,2,3374,39,6,6,1,4,2,0,1,1801,4,0,1,2,1,31,2430
Zotu10,38,2,2,28,685,26,332,40,153,4,33,3,6,338,5,476,543,323,425,46,7000,3,497,3,503,5,0,23,218,25,0,375,1,450,1075,1
Zotu100,0,0,0,0,0,0,1,2,14,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu1000,0,0,0,0,1,0,21,0,20,1,0,0,1,0,0,0,10,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu10000,0,0,0,0,0,0,4,0,1,10,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0
Zotu10001,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu10003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10004,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,2,0,0,0,1
Zotu10005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0
Zotu10006,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
Zotu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu10008,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,2,0,0,1,0,0
Zotu10009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0
Zotu10010,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
Zotu10011,1,0,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Zotu10012,0,2,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,1,1,3,1,0,2,1,0,0,0,0,0
Zotu10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Zotu10014,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu10015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,1,0,0,0
