,DLSm01,DLSm02,DLSm03,DLSw01,DLSw02,DLSw03,DPSm01,DPSm02,DPSm03,DPSw01,DPSw02,DPSw03,HLm01,HLm02,HLm03,HLw01,HLw02,HLw03,SLTm01,SLTm02,SLTm03,SLTw01,SLTw02,SLTw03,SLm01,SLm02,SLm03,SLw01,SLw02,SLw03,XSm01,XSm02,XSm03,XSw01,XSw02,XSw03
Zotu1,8,1,0,391,208,79,12,39,3,117,37,70,1,1,3,54,16,21,2,3374,39,1091,328,75,4,2,0,694,50,67,0,1,2,182,46,5
Zotu10,38,2,2,14994,24819,3749,332,40,153,9785,212,536,6,338,5,427,448,630,425,46,7000,209,717,1240,503,5,0,6527,2171,743,0,375,1,7463,3449,16393
Zotu100,0,0,0,27,32,733,1,2,14,63,2450,2644,0,0,0,45,3,19,2,1,0,354,60,86,0,0,0,1030,911,1149,0,0,0,4,109,36
Zotu1000,0,0,0,4,10,5,21,0,20,0,0,0,1,0,0,1,14,0,22,0,0,0,4,14,3,0,0,0,1,1,0,0,0,0,0,0
Zotu10000,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,1,2,0
Zotu10003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0
Zotu10005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0
