,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu1,25,6,5,6,11,13,0,13,4427,0,6,0,2491,2808,2450,10,10,20,27063,29381,31333,6,6,1,43,6,5,1,1801,4,26,21,20,1,31,2430
Zotu10,12,191,255,28,685,26,214,94,2,4,33,3,3,3,2,476,543,323,3,0,1,3,497,3,51,217,253,23,218,25,5,61,14,450,1075,1
Zotu100,18,0,100,0,0,0,40,43,18,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,25,1,0,0,2,0,1,6,4,0,0,0
Zotu1000,15,1,1,0,1,0,0,18,0,1,0,0,0,7,2,0,10,0,0,0,1,0,0,0,35,470,777,0,0,0,1,0,1,0,0,0
Zotu10000,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,0,0,0,0,1,0,0
Zotu10001,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0
Zotu10004,0,0,0,0,0,1,0,2,0,1,0,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,1
Zotu10005,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10006,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Zotu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
