,DLSs01,DLSs02,DLSs03,DLSw01,DLSw02,DLSw03,DPSs01,DPSs02,DPSs03,DPSw01,DPSw02,DPSw03,HLs01,HLs02,HLs03,HLw01,HLw02,HLw03,SLTs01,SLTs02,SLTs03,SLTw01,SLTw02,SLTw03,SLs01,SLs02,SLs03,SLw01,SLw02,SLw03,XSs01,XSs02,XSs03,XSw01,XSw02,XSw03
Zotu1,25,6,5,391,208,79,0,13,4427,117,37,70,2491,2808,2450,54,16,21,27063,29381,31333,1091,328,75,43,6,5,694,50,67,26,21,20,182,46,5
Zotu10,12,191,255,14994,24819,3749,214,94,2,9785,212,536,3,3,2,427,448,630,3,0,1,209,717,1240,51,217,253,6527,2171,743,5,61,14,7463,3449,16393
Zotu100,18,0,100,27,32,733,40,43,18,63,2450,2644,0,0,0,45,3,19,3,0,0,354,60,86,25,1,0,1030,911,1149,1,6,4,4,109,36
Zotu1000,15,1,1,4,10,5,0,18,0,0,0,0,0,7,2,1,14,0,0,0,1,0,4,14,35,470,777,0,1,1,1,0,1,0,0,0
Zotu10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,1,2,0
Zotu10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0
Zotu10004,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
Zotu10005,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Zotu10008,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10009,1,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu1001,12,0,33,0,0,0,2,5,0,0,2,3,32,22,34,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,47,354,47,1,1,0
Zotu10011,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Zotu10014,4,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,0,0
Zotu10016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
