m	Moss-Soil	Moss-Water	Moss-Treehole	Moss-Sediment	Sediment-Water	Sediment-Moss	Sediment-Soil	Sediment-Treehole	Soil-Sediment	Soil-Water	Soil-Moss	Soil-Treehole	Treehole-Soil	Treehole-Moss	Treehole-Water	Treehole-Sediment	Water-Moss	Water-Soil	Water-Sediment	Water-Treehole	Region
m1	17.287966	5.793026407	23.93874	4.37821	9.41938	4.8497854	6.260942	2.6200664	6.3144313	87.2284804	13.0397588	13.73427752	12.773887	23.87293279	6.1955496	3.525493195	5.4685946	11.2767322	9.34517	4.9693776	V4
m2	19.0830389	6.569593234	22.54883	4.0804112	7.49282	3.8458351	12.1864327	1.5832051	3.5800224	71.7137866	7.1865925	13.60211111	18.27717	20.60136796	5.2145192	2.70499691	5.6658643	9.2455798	17.34973	6.4321647	V4
m3	14.7719746	8.516011449	25.02694	3.8223623	8.29254	3.5495125	11.1374742	2.6345938	7.0868324	94.4774535	16.0410993	15.00539685	23.10343	30.15496918	8.7572713	3.686293431	8.3575843	9.6754029	16.24157	5.9974101	V4
m4	11.5995501	2.739690806	37.47688	4.4863959	11.6446	6.5989104	12.3973889	2.1942773	5.0222479	31.1281679	15.9799208	14.55853965	14.05553	8.610860423	1.8658361	2.574666395	6.373999	32.9091818	9.00224	5.2288149	V4
m5	9.479111	5.809355446	14.86912	3.2616837	8.02704	6.328615	4.2516964	0.8306764	15.7567975	35.1853316	7.4873328	8.930928331	11.27607	12.30678679	3.9190668	3.626912509	4.4465128	54.6480815	8.11147	3.5070422	V4
m6	8.5380036	4.263256521	17.66929	5.4358022	7.64514	6.8903176	6.4053659	2.4149881	4.5730856	16.8123803	17.7919228	17.56800179	13.98848069	11.99527903	3.3811347	3.049580701	6.6502325	45.4709733	17.02425	4.3770538	V4
m7	21.9207292	6.75138392	27.69711	4.096813	29.43537989	5.9681368	10.8909539	2.0331406	12.3728615	57.0459972	29.1555504	29.08714488	22.74732	31.67002485	7.0547961	3.782269442	9.8244764	50.7953498	27.57682	8.0787563	V4
m8	15.2505596	2.984895652	16.05279	3.6632998	18.35787	2.7400726	12.9009288	2.3311828	10.4982309	46.9639266	11.0924135	13.04649883	12.80355	23.05866842	2.3778004	2.709277344	3.7894242	63.0739218	25.2116	4.993103	V4
m9	9.4201347	5.393095435	23.21981	6.643715	29.83548	2.9702487	8.9350027	2.95431	15.3269168	50.8264678	14.6583173	14.2011826	27.22072	29.6913311	3.1726845	3.619629844	7.330016	53.4473908	27.34864	7.6631944	V4
m10	12.6512117	3.961506332	18.33367	3.4189907	9.12537	9.1186568	20.604471	1.9634004	6.4860305	31.2599402	20.3887446	10.03020091	11.87902	13.05982732	3.0077259	2.744845288	7.3153534	79.9579135	4.38735	3.9960577	V4
