Habitat	V4	V9
Moss	16.50683591	34.07556669
Moss	5.151425712	15.59152767
Moss	21.27984722	48.20566356
Moss	4.436057122	11.83324273
Sediment	12.68376555	17.25719863
Sediment	4.852081317	40.33013812
Sediment	8.998560167	24.03874159
Sediment	2.405953506	16.23385291
Soil	8.676759683	33.60922836
Soil	45.30058649	57.29659571
Soil	15.89404531	29.1547146
Soil	14.65398746	14.84296753
Tree hole	16.72541451	50.65805469
Tree hole	24.72032013	21.28976885
Tree hole	4.532705917	28.95774677
Tree hole	3.588262529	9.743202594
Water	6.959354178	10.59706246
Water	37.83578596	16.45767295
Water	13.25208699	19.60560879
Water	5.73770285	9.645435644
