	PD	SR
DLSm01	132.558647213	2710
DLSm02	121.728015544	2319
DLSm03	136.388997686	2675
DLSs01	228.737658018	3811
DLSs02	172.279023428	2517
DLSs03	267.986880385	4124
DLSse01	126.74439505	1474
DLSse02	120.801995829	1556
DLSse03	136.818920399	1511
DLSt01	157.846522667	3137
DLSt02	134.972914103	2635
DLSt03	139.667464023	2745
DLSw202001	144.711652178	2395
DLSw202002	129.788217777	2523
DLSw202003	140.297303901	3021
DPSm01	125.50319622	2442
DPSm02	130.610958981	2304
DPSm03	159.451632671	2895
DPSs202001	137.1935659	2720
DPSs202002	146.941035331	3081
DPSs202003	157.778414711	3157
DPSse01	123.781230157	2058
DPSse02	103.898810197	1592
DPSse03	141.591373186	2106
DPSt01	110.666706108	2358
DPSt02	105.179595664	1948
DPSt03	131.639199642	2512
DPSw202001	135.372286834	2002
DPSw202002	119.455406475	2392
DPSw202003	126.13445697	2107
HLm01	160.867813721	3220
HLm02	122.831159517	2372
HLm03	116.187400227	2254
HLs202001	209.796484784	4171
HLs202002	195.269305874	4106
HLs202003	183.190527629	3122
HLse01	145.476588636	2164
HLse02	138.522913101	1892
HLse03	137.205514432	2139
HLt01	167.962520656	3085
HLt02	140.273217655	2182
HLt03	150.278743684	2457
HLw202001	163.75961888	3369
HLw202002	124.065726925	2153
HLw202003	125.408381025	2753
SLTm01	139.447995734	2806
SLTm02	121.632372235	2603
SLTm03	134.495905526	2759
SLTs202001	157.654186564	3154
SLTs202002	203.650339232	4386
SLTs202003	159.534713044	3695
SLTse01	134.512525174	1871
SLTse02	103.375472717	1358
SLTse03	217.411644021	2170
SLTt01	124.093008118	2371
SLTt02	118.894286415	2194
SLTt03	119.37439123	1907
SLTw202001	146.753019947	2467
SLTw202002	167.501084485	2902
SLTw202003	157.889837112	2285
SLm01	136.967088061	2844
SLm02	108.896260701	2219
SLm03	136.640250905	3042
SLs01	256.050528441	4204
SLs02	190.929736599	3686
SLs03	238.072534893	4228
SLse01	112.185759748	1602
SLse02	99.528511004	1744
SLse03	142.785325725	2348
SLt01	139.46476656	2792
SLt02	142.145929802	2388
SLt03	158.463983009	3034
SLw202001	164.052524162	2556
SLw202002	167.932017953	2297
SLw202003	190.663044065	2717
XSm01	142.811255098	2970
XSm02	126.707991858	2434
XSm03	167.826688998	3386
XSs202001	179.134216685	4267
XSs202002	185.336762059	4526
XSse01	164.727459123	2352
XSse02	172.941205328	2391
XSse03	193.732552974	2673
XSt01	132.924482193	2740
XSt02	126.877198796	2094
XSt03	176.242968211	3373
XSw202001	168.288018526	2458
XSw202002	155.44458834	3080
XSw202003	156.708544369	2926
XsSs202003	209.305536505	4654
