,DLSse01,DLSse02,DLSse03,DPSse01,DPSse02,DPSse03,HLse01,HLse02,HLse03,SLTse01,SLTse02,SLTse03,SLse01,SLse02,SLse03,XSse01,XSse02,XSse03
otu1,7371,4360,4373,1,1,0,374,222,198,222,121,128,429,520,748,3,0,8
otu10,0,3,0,0,0,1,6,52,3,2,0,0,0,0,3,2,1,0
otu100,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1000,0,0,0,0,0,1,0,0,2,0,0,631,0,0,0,0,13,68
otu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
otu10003,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
otu10004,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
otu10005,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
otu10006,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,31
otu10007,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,17,15
otu10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10017,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,1,0
otu10018,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0
otu10019,0,3,1,0,0,0,0,0,0,0,0,0,19,4,1,0,1,0
otu10020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5
otu10021,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
otu10022,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0
otu10023,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
otu10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu1003,5,23,13,12,4,4,0,0,0,0,0,0,175,139,128,29,18,12
otu10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
otu1004,163,19,42,0,0,0,5,7,2,2,0,1,2,2,3,0,0,0
otu10041,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
otu10044,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
otu1005,0,0,0,24,243,183,0,0,0,10,4,18,0,1,3,0,1,3
otu10052,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
otu10053,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1006,0,11,0,2,3,4,14,58,10,6,4,10,0,2,2,7,47,16
otu10064,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0
otu10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
otu1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
otu10073,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10079,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1008,0,0,0,37,103,213,1,1,137,4,0,3,1,0,0,2,1,3
otu10082,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,3,0,1
otu10083,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
otu1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10091,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
otu10092,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10095,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10098,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
otu101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1010,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10101,0,1,0,0,0,0,2,0,3,0,0,1,2,0,0,7,0,0
otu10103,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10104,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
otu10105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
otu1011,3,0,10,0,0,0,4,0,0,2,0,0,4,6,0,0,0,0
otu10110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10117,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10118,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
otu10119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu1012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
