,DLSs01,DLSs02,DLSs03,DPSs202001,DPSs202002,DPSs202003,HLs202001,HLs202002,HLs202003,SLTs202001,SLTs202002,SLTs202003,SLs01,SLs02,SLs03,XSs202001,XSs202002,XsSs202003
otu1,180,2,122,3419,6409,4794,4245,21,3708,23164,3300,1996,2,1,0,4,22,17
otu10,0,0,0,20,299,50,2,613,394,3,2171,329,0,0,0,58,397,85
otu100,0,33,0,0,0,2,31,31,399,9,0,0,1,70,0,0,0,0
otu10000,0,0,0,0,0,0,0,0,0,0,6,0,26,0,0,0,4,1
otu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
otu10002,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0
otu10008,1,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0
otu10009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1001,0,0,0,0,0,0,2,3,16,6,3,2,0,0,0,1,1,2
otu10012,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
otu10013,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0
otu10014,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
otu10015,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0
otu10016,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
otu10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1002,0,0,0,0,0,0,6,11,53,1,0,0,0,0,0,0,0,0
otu10028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10029,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,1,12
otu1003,0,2,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0
otu10035,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,3,0,1
otu10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10038,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
otu10039,1,0,6,2,1,0,1,0,2,0,1,1,4,0,0,1,4,7
otu1004,2,0,0,3,7,3,4,0,3,2,1,0,0,0,0,0,0,0
otu10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10041,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
otu10042,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu10043,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10044,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
otu10045,0,1,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0
otu10046,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10047,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0
otu10048,0,0,0,0,0,0,4,4,1,0,4,0,0,0,0,2,1,1
otu10049,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
otu1005,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0
otu10050,0,0,0,2,3,0,6,0,0,0,0,1,0,0,0,3,0,0
otu10051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10056,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
otu1006,0,0,0,1,17,4,33,6,24,25,2,0,0,2,0,0,30,9
otu10063,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
