,DLSw202001,DLSw202002,DLSw202003,DPSw202001,DPSw202002,DPSw202003,HLw202001,HLw202002,HLw202003,SLTw202001,SLTw202002,SLTw202003,SLw202001,SLw202002,SLw202003,XSw202001,XSw202002,XSw202003
otu1,31053,28238,36454,2296,3138,14,25,7085,11608,32,20,3753,2535,2552,2335,1880,3005,12
otu10,2218,1074,338,1012,406,28,4980,28344,15251,347,77,2,3906,4672,3532,1868,977,312
otu100,11,0,0,0,0,0,21,0,0,0,0,9,0,0,0,4,5,6
otu10001,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
otu10009,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0
otu1001,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,2,1
otu1002,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,3,2
otu10028,0,0,0,3,1,0,0,0,0,0,0,0,5,8,14,0,0,0
otu10029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
otu10035,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10039,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
otu1004,20,12,23,1,3,0,0,3,2,0,0,4,4,2,2,1,0,0
otu10041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4
otu10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10049,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
otu1005,4,0,0,0,1,3,0,0,4,4,0,1,7,2,5,0,0,1
otu10050,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
otu10056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu1006,30,1,2,34,48,22,24,1,0,119,41,107,8,12,6,1,4,3
otu10064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10066,0,5,4,0,0,5,7,2,0,0,1,0,2,4,2,0,0,2
otu10069,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
otu10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10071,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10073,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu10076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1008,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10081,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10086,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
otu10088,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
otu10089,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
otu1009,0,33,44,0,0,0,27,0,0,29,0,0,0,12,1,0,0,0
otu10090,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10094,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10098,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
otu10099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu101,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0
otu1010,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
