,DLSm01,DLSm02,DLSm03,DPSm01,DPSm02,DPSm03,HLm01,HLm02,HLm03,SLTm01,SLTm02,SLTm03,SLm01,SLm02,SLm03,XSm01,XSm02,XSm03
otu1,8,1,0,12,39,3,1,1,3,2,3374,39,4,2,0,0,1,2
otu10,38,2,2,332,40,153,6,338,5,425,46,7000,503,5,0,0,375,1
otu100,0,0,0,1,2,14,0,0,0,2,1,0,0,0,0,0,0,0
otu1000,0,0,0,21,0,20,1,0,0,22,0,0,3,0,0,0,0,0
otu10000,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0
otu10001,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
otu10003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
otu10005,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,2,0,3
otu10006,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1
otu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10008,1,0,1,0,0,0,0,1,0,0,0,0,0,0,11,2,0,0
otu10009,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0
otu1001,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0
otu10010,1,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0
otu10011,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1
otu10012,0,2,1,0,0,0,1,2,1,1,0,0,1,1,3,1,0,0
otu10013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
otu10014,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
otu10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
otu10016,0,0,0,0,1,0,8,0,0,0,0,1,0,1,0,1,0,1
otu10017,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
otu10018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1002,40,1,0,3,37,4,2,3,1,12,32,1,1,1,2,3,0,4
otu10021,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1003,0,0,0,3,0,1,0,0,0,2,5,0,0,0,0,0,0,0
otu10031,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
otu10032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10033,0,0,0,0,0,0,1,0,0,0,0,1,11,2,0,1,0,0
otu10034,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0
otu10035,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
otu10037,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10039,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1004,13,11,15,10,35,40,37,53,9,3,3,10,51,16,28,53,23,16
otu10040,2,0,0,1,1,2,2,1,0,0,3,0,0,2,1,1,0,4
otu10041,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10043,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
