,DLSs01,DLSs02,DLSs03,DPSs01,DPSs02,DPSs03,HLs01,HLs02,HLs03,SLTs01,SLTs02,SLTs03,SLs01,SLs02,SLs03,XSs01,XSs02,XSs03
otu1,25,6,5,0,13,4427,2491,2808,2450,27063,29381,31333,43,6,5,26,21,20
otu10,12,191,255,214,94,2,3,3,2,3,0,1,51,217,253,5,61,14
otu100,18,0,100,40,43,18,0,0,0,3,0,0,25,1,0,1,6,4
otu1000,15,1,1,0,18,0,0,7,2,0,0,1,35,470,777,1,0,1
otu10000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
otu10003,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
otu10004,0,0,0,0,2,0,0,2,2,1,0,0,0,0,1,2,0,0
otu10005,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
otu10008,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10009,1,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1001,12,0,33,2,5,0,32,22,34,1,0,0,0,0,0,47,354,47
otu10011,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
otu10012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
otu10013,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
otu10014,4,0,12,0,1,0,0,1,0,0,0,0,0,1,2,0,2,1
otu10016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
otu10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
otu10018,9,10,1,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0
otu10019,18,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
otu1002,7,36,25,4,0,2,9,3,4,3,0,2,2,2,0,1,13,3
otu10020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10021,5,2,9,1,1,0,0,0,0,0,0,0,0,1,12,0,0,0
otu10022,2,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10024,0,0,0,3,0,0,0,3,2,0,2,0,0,0,0,1,1,2
otu10025,0,0,0,0,0,0,12,6,3,0,0,2,0,0,0,0,0,1
otu10026,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
otu10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1003,2,1,1,1,2,6,9,10,4,16,9,7,3,5,1,5,1,2
otu10030,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0
otu10038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10039,0,0,0,0,1,0,0,0,0,0,0,0,1,13,22,0,0,0
otu1004,60,30,69,4,5,0,49,14,9,2,1,3,12,39,73,6,2,2
otu10040,0,0,0,2,3,0,0,0,0,0,1,0,0,2,0,1,4,0
otu10042,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
otu10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10046,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10048,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu1005,1,0,7,1,0,0,0,0,0,0,0,0,1,1,1,0,1,2
otu10050,6,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0
otu10052,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1
otu10053,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
otu10055,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,3,0,1
otu10056,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
otu10059,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
otu1006,0,0,0,0,0,0,190,267,113,19,23,8,0,0,0,51,30,42
otu10060,0,0,14,4,2,0,0,1,0,0,0,0,2,0,0,0,3,1
otu10061,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0
