,DLSt01,DLSt02,DLSt03,DPSt01,DPSt02,DPSt03,HLt01,HLt02,HLt03,SLTt01,SLTt02,SLTt03,SLt01,SLt02,SLt03,XSt01,XSt02,XSt03
otu1,6,11,13,0,6,0,10,10,20,6,6,1,1,1801,4,1,31,2430
otu10,28,685,26,4,33,3,476,543,323,3,497,3,23,218,25,450,1075,1
otu100,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
otu1000,0,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
otu10000,0,0,0,10,1,0,0,0,0,1,0,1,2,0,0,1,0,0
otu10001,0,1,0,2,1,1,0,0,0,1,6,1,0,0,0,0,0,0
otu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10004,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
otu10005,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10006,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
otu10008,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu1001,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0
otu10010,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
otu10011,0,0,0,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0
otu10012,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
otu10013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0
otu10016,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
otu10017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1002,2,2,0,12,156,26,1,1,0,25,23,18,1,6,0,0,77,3
otu10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1003,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12
otu10030,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10031,0,0,0,1,0,1,2,0,2,0,0,0,1,0,5,4,2,0
otu10032,0,1,0,0,1,2,0,0,0,1,4,0,0,0,0,0,0,0
otu10033,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0
otu10035,0,1,0,0,1,1,0,0,0,2,26,0,0,0,0,0,0,0
otu1004,20,31,5,87,10,17,16,1,6,17,16,19,20,0,7,34,7,0
otu10040,2,1,0,1,0,1,2,0,0,0,1,0,2,1,3,0,1,1
otu10043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1005,0,8,0,0,0,0,3,2,11,0,6,0,0,5,0,8,14,0
otu10050,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
otu10051,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
otu10052,4,0,6,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1
otu10053,4,3,6,1,0,2,6,0,18,0,3,2,1,0,8,3,2,1
otu10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10055,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10056,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
otu10058,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0
otu10059,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
otu1006,2,0,8,0,0,0,4,0,2,3,1,2,1,0,0,0,0,0
otu10060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10063,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
otu10064,5,0,2,0,0,0,2,0,1,1,0,0,3,0,1,0,4,0
otu10065,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10066,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu1007,2,1,7,13,1,32,21,0,27,4,4,13,4,0,44,35,41,0
otu10070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
otu10072,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
otu10074,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10079,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
otu10080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10084,1,1,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
otu10085,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10086,0,0,0,1,1,0,0,0,0,1,7,1,0,0,0,0,0,0
otu10087,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1009,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
otu10090,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
otu10093,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10097,0,0,0,1,1,3,0,0,1,0,0,2,1,0,2,0,1,12
otu10098,0,0,43,29,17,38,0,0,20,29,20,221,0,0,2,0,0,0
otu101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
otu1010,2,0,0,21,149,17,1,0,0,24,22,21,1,0,0,0,44,9
otu10100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
otu10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10107,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
otu10108,0,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,9,0
otu10109,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
otu1011,7,6,21,16,24,16,1,0,12,19,18,221,60,13,3,5,3,0
otu10111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
otu10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10114,0,0,2,0,0,0,1,0,4,0,0,2,0,0,0,0,2,0
otu10115,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
otu10116,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0
otu10117,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
otu10118,6,3,0,0,0,0,1,0,1,0,0,1,2,0,1,1,1,0
otu10119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1012,0,0,0,0,1,0,1,2,0,0,2,0,0,1,1,0,2,0
otu10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10125,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
otu10126,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
otu1013,30,249,66,1,0,4,11,6,5,3,23,6,16,0,24,6,2,21
otu10132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1014,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3
otu10148,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
otu1015,0,0,8,26,0,5,8,12,55,0,0,8,16,2,3,21,9,2
otu10150,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0
otu10154,0,0,0,3,1,3,0,0,0,3,0,1,4,0,0,2,0,0
otu10159,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0
otu1016,0,0,0,0,0,1,1,4,0,0,2,0,1,0,0,0,0,0
otu10160,0,2,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
otu10161,0,7,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
otu10163,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
otu10164,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1017,4,2,3,5,3,2,9,4,1,5,3,0,5,0,9,4,5,266
otu10171,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0
otu10172,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
otu10173,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
otu10174,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0
otu10175,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
otu10178,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
otu10179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu10181,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2
otu10182,8,6,6,0,1,4,0,0,0,2,0,2,4,0,25,2,0,0
otu10183,4,0,3,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0
otu10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10185,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0
otu10187,0,3,0,0,0,0,0,4,0,0,1,1,1,0,1,0,0,0
otu1019,4,66,3,4,1,12,3,0,3,0,78,1,4,2,11,9,3,0
otu10194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
