Domain	DLSm01	DLSm02	DLSm03	DLSs01	DLSs02	DLSs03	DLSse01	DLSse02	DLSse03	DLSt01	DLSt02	DLSt03	DLSw202001	DLSw202002	DLSw202003	DPSm01	DPSm02	DPSm03	DPSs202001	DPSs202002	DPSs202003	DPSse01	DPSse02	DPSse03	DPSt01	DPSt02	DPSt03	DPSw202001	DPSw202002	DPSw202003	HLm01	HLm02	HLm03	HLs202001	HLs202002	HLs202003	HLse01	HLse02	HLse03	HLt01	HLt02	HLt03	HLw202001	HLw202002	HLw202003	SLTm01	SLTm02	SLTm03	SLTs202001	SLTs202002	SLTs202003	SLTse01	SLTse02	SLTse03	SLTt01	SLTt02	SLTt03	SLTw202001	SLTw202002	SLTw202003	SLm01	SLm02	SLm03	SLs01	SLs02	SLs03	SLse01	SLse02	SLse03	SLt01	SLt02	SLt03	SLw202001	SLw202002	SLw202003	XSm01	XSm02	XSm03	XSs202001	XSs202002	XSse01	XSse02	XSse03	XSt01	XSt02	XSt03	XSw202001	XSw202002	XSw202003	XsSs202003
Alveolata	17372	12488	10401	13537	7558	9369	10733	10078	11506	14346	19271	6512	12122	5576	6294	29169	9021	6937	6496	8342	21417	6567	2110	16658	20731	4366	8870	11091	13373	8716	11021	37468	12806	12360	14784	9575	9510	11338	14509	10479	12454	5738	13355	34721	23222	8396	17651	25867	10745	11806	7850	5677	1160	3213	9590	22434	29155	30259	35366	49159	20814	18990	18309	10665	4934	9928	33812	12417	10493	17742	15327	14806	15898	19535	22827	12482	12001	14465	8143	9958	4401	6908	4193	11866	16338	17378	7179	8158	7034	14054
Amoebozoa	1784	1516	1400	4755	882	2139	2261	2325	2041	1074	1852	1373	817	542	1155	800	4056	640	806	2096	1707	1675	656	2052	3190	557	1075	1079	1392	1065	2953	2403	973	1726	3153	1783	1333	2122	1139	2379	1590	1409	2143	676	1421	7465	4894	3942	899	1733	3958	2549	1011	1647	1718	1574	1391	4611	2291	961	5830	4550	3901	2104	832	905	1046	1014	801	1573	1965	2695	1538	1630	1416	2434	5181	3440	1359	1896	3971	537	690	1075	2127	2083	1011	1936	1211	1955
Apusozoa	0	2	0	1714	170	38	0	1	3	7	4	5	98	82	134	0	1	3	35	58	93	0	1	0	40	1	9	9	40	0	1	1	1	62	17	37	41	34	76	6	1	1	2	41	88	6	11	10	135	30	55	4	1	4	6	5	3	0	3	33	0	1	4	27	9	34	2	1	1	30	2	28	22	26	25	2	3	10	7	9	9	8	8	6	24	22	3	45	3	11
Archaeplastida	5870	17899	8731	8402	25959	12044	14114	12679	11493	8009	15210	36763	34966	30990	39635	18935	17896	5354	6888	11302	9310	4764	2957	12577	4414	63915	6866	6888	8773	5542	8110	5906	6097	11568	8791	10358	17684	10217	7651	6589	25548	4912	11511	13321	18641	15884	9343	8405	26770	13963	13285	9715	16965	12249	11733	6447	4520	5222	4743	6685	8861	9268	7805	7089	2594	6849	4944	8256	8449	5671	16175	6194	8749	9013	8406	18876	25074	8636	9074	8777	8514	9433	8191	16436	9497	7521	9487	11446	7437	8483
Excavata	9	4	28	19	21	18	46	5	9	7	16	348	3	3	15	7	7	6	5	12	6	2	0	1	8	4	1	18	18	18	13	2	16	14	26	21	4	12	6	32	6	24	24	3	7	5	29	42	9	7	14	4	1	14	6	10	26	53	31	81	19	6	16	142	9	26	2	14	5	38	11	28	3	12	5	12	3	3	23	23	3	25	13	252	30	51	6	20	24	14
Hacrobia	270	63	98	113	610	494	30	12	21	691	823	1310	497	269	320	90	101	83	298	115	125	490	251	1031	621	54	1996	17045	21319	23878	555	105	124	842	1532	7156	43	40	54	1765	99	187	1437	1748	2592	496	51	71	537	736	461	151	77	407	142	132	85	3941	3595	1164	674	97	274	2403	139	172	31	187	70	9734	189	1459	3769	917	1127	1420	196	406	708	370	72	235	89	981	631	669	4116	4974	5290	369
Opisthokonta	36161	32497	31052	22912	21869	26858	30380	28144	32464	21077	28667	21426	25829	36381	21385	26848	21786	49486	27207	31434	25915	25680	9780	28532	38001	9991	48050	36335	24279	28083	34389	13861	49456	28784	33563	25759	37927	22072	30993	33008	18595	60299	37437	23929	22870	29378	32596	28934	24170	32170	25618	31661	57383	15649	26642	39645	22734	26987	24021	18143	28626	26399	27233	36981	13007	32030	27888	47228	33260	28112	15261	38520	27337	26466	26589	22877	21755	40131	29881	37029	16129	28638	35879	24748	37130	33423	31791	24805	33416	31933
Rhizaria	13938	16540	26349	11905	15477	9413	15829	20159	15673	5748	6028	8072	6156	4153	6739	7806	26105	15397	5154	11416	7014	4877	2556	10561	10143	3176	4412	7951	10661	10779	15633	22053	13326	12562	9572	13498	8305	16607	23352	10220	4604	5947	9116	6602	10792	19046	13100	12134	8148	14509	25637	27128	7583	5360	10144	7082	7747	9455	8518	4717	14632	18643	19248	9648	6421	14967	11238	7607	8159	7147	6092	8085	18471	19945	16200	19512	16495	11109	13649	13916	37944	6546	10385	6237	7994	7789	8685	9179	8499	13849
Stramenopiles	3917	2008	2426	12504	1400	13325	11003	10362	11179	4344	4479	3506	2787	1998	2453	656	1990	3168	3416	4605	3904	4510	2808	9976	3897	1354	4829	2837	3128	3420	7511	2063	1511	7591	3922	3547	9494	21914	6528	6504	8545	2452	3912	2235	3021	1489	2032	2082	4319	3474	2679	2802	580	42679	10858	3697	6957	3043	4155	2999	2416	2226	2772	3817	52491	9234	2812	5931	9937	3667	15427	2860	4187	5191	5833	4139	2311	2814	4649	4119	1776	27392	8490	12877	2192	4540	4105	4802	5238	4772
Unassigned	6914	3218	5750	10374	12289	12537	1839	2470	1846	30932	9885	6920	2960	6241	8105	1924	5272	5161	35930	16855	16744	37670	65116	4847	5190	2817	10127	2982	3252	4734	6049	2373	1925	10726	10875	14501	1894	1879	1927	15253	14793	5266	7298	2959	3581	4070	6528	4748	10503	7807	6678	6544	1474	5013	15396	5209	13617	2664	3512	2293	4363	6055	6673	13359	5799	12090	4460	3580	15060	12521	15786	11560	6261	3500	3807	4481	3216	5221	18742	10138	13416	6513	18297	11757	10272	12759	19852	20870	18083	10795
