Domain	DLSm01	DLSm02	DLSm03	DLSs01	DLSs02	DLSs03	DLSse01	DLSse02	DLSse03	DLSt01	DLSt02	DLSt03	DLSw01	DLSw02	DLSw03	DPSm01	DPSm02	DPSm03	DPSs01	DPSs02	DPSs03	DPSse01	DPSse02	DPSse03	DPSt01	DPSt02	DPSt03	DPSw01	DPSw02	DPSw03	HLm01	HLm02	HLm03	HLs01	HLs02	HLs03	HLse01	HLse02	HLse03	HLt01	HLt02	HLt03	HLw01	HLw02	HLw03	SLTm01	SLTm02	SLTm03	SLTs01	SLTs02	SLTs03	SLTse01	SLTse02	SLTse03	SLTt01	SLTt02	SLTt03	SLTw01	SLTw02	SLTw03	SLm01	SLm02	SLm03	SLs01	SLs02	SLs03	SLse01	SLse02	SLse03	SLt01	SLt02	SLt03	SLw01	SLw02	SLw03	XSm02	XSm01	XSm03	XSs01	XSs02	XSs03	XSse01	XSse02	XSse03	XSt02	XSt01	XSt03	XSw01	XSw02	XSw03
Alveolata	3618	3038	4685	4930	8825	7623	1483	1058	1315	6851	6687	5177	5260	6461	34386	1621	3005	6464	1666	2194	4487	3388	3233	4874	6436	3332	8593	11606	22980	21478	8579	4678	2888	4874	2660	2282	2893	2567	4322	10468	5686	3771	7112	30640	29686	8117	5353	5880	2390	1798	2265	2778	1037	4083	17888	26335	8035	11867	6208	12808	7360	4328	3681	6690	4388	6361	3686	2974	3214	5458	2588	5619	23298	25717	20750	4139	7047	4970	4877	3907	3272	4528	4865	3602	3904	3977	7765	10091	9428	8838
Amoebozoa	408	305	367	1470	798	1198	48	53	55	377	2669	408	62	42	72	183	293	499	173	579	104	75	62	76	4406	339	1006	73	56	71	526	245	149	678	619	500	76	125	57	443	1379	440	113	40	23	515	224	195	69	72	77	93	32	107	846	958	1246	290	157	71	334	372	849	762	1591	1457	99	193	77	430	132	419	215	103	129	339	557	825	656	551	707	105	161	84	195	404	599	74	87	49
Apusozoa	1	1	4	2	0	1	0	0	0	1	3	1	0	3	1	3	0	1	1	1	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	5	14	0	0	1	0	1	0	4	1	1	0	0	0	2	1	3	0	1	5	5	1	0	0	1	13	19	1	0	1	1	0	3	1	2	0	2	2	1	0	0	0	1	1	0	2	1	2	0	4	1
Archaeplastida	13799	8244	28011	967	1327	1417	16707	15439	13503	4464	4219	4321	35647	27775	6259	22742	28005	18877	1708	1213	4119	2026	893	2029	1778	2546	4234	14530	1644	2570	14102	13328	40621	13422	11608	15731	7097	7688	6612	5910	26931	39214	7457	4301	3646	4539	6180	3578	17636	15458	13206	6046	2653	4545	3457	6740	13364	2252	3772	2294	17099	14270	14176	2842	2377	3839	4450	1501	3658	1131	1581	1129	3115	4022	3544	2070	4590	9042	2974	4180	5468	3755	1890	2027	8146	4760	3513	1645	1375	2342
Excavata	116	218	191	961	299	805	70	45	72	363	696	595	892	888	3204	226	155	604	212	397	366	772	744	752	316	83	248	1044	4727	6231	628	104	131	465	285	261	114	167	110	580	858	342	394	249	177	1373	361	1555	119	74	97	386	65	388	303	532	770	1953	2418	1176	260	209	254	866	1025	1417	269	365	321	643	135	838	2412	2057	2153	267	272	264	635	404	538	316	608	362	276	529	591	815	1521	1327
Hacrobia	77	70	92	178	216	1087	22	14	28	97	567	104	1020	914	13061	78	47	232	317	407	111	57	74	279	29	26	97	3962	23132	18941	89	538	52	75	54	31	57	39	127	673	404	423	991	504	350	491	58	5863	21	15	39	73	39	121	190	495	35	4899	2773	2138	600	49	42	329	79	96	57	51	83	62	30	381	7042	6009	7109	394	47	111	62	54	121	63	165	175	877	466	88	9362	9067	8343
Opisthokonta	52140	53786	37789	52365	60947	49939	10928	11731	14686	59088	50611	64690	35196	41084	18497	39018	41920	45152	75379	71128	43707	67804	73794	64117	64142	73669	58978	39641	17469	17913	41265	55210	29361	31492	39999	42393	22088	16106	30499	52140	33099	33398	38059	24754	35000	41436	48641	59992	8914	10616	13913	27793	68858	45901	44267	34588	49904	23444	26013	16011	41466	39335	43724	46770	55541	46161	38019	65045	46803	66638	70684	61883	21223	20168	17438	52500	57527	51219	58941	63985	61913	35483	49253	52199	61390	66841	51806	38635	40367	42748
Rhizaria	1150	1243	2183	6704	5473	5036	446	377	302	1607	1636	2559	278	373	583	901	932	2610	1501	2058	409	398	382	282	1010	860	1722	806	500	554	2100	1308	3127	3822	3146	2239	522	382	327	1493	3312	1288	449	251	128	8662	682	750	413	365	303	557	267	464	3349	1307	1583	516	597	855	777	923	2111	3269	3004	3882	589	1003	358	2554	565	1718	653	679	749	2063	1589	1509	2671	2569	2266	443	534	303	1334	1099	896	400	552	383
Stramenopiles	1244	688	759	1747	1102	1994	34217	36876	37755	1214	1671	1323	3255	3228	3623	3815	1607	2004	830	1064	19092	1699	1714	4213	394	799	869	5894	4566	5053	2648	488	1274	10328	8846	7623	27949	32794	20914	1666	2346	1151	5856	5038	2646	2555	8104	1841	33837	35964	37901	7769	3318	8291	835	1909	757	11345	11232	6961	1869	1673	1108	3397	1609	2327	18585	4802	18884	885	5249	2006	19498	18065	23596	1034	1098	1221	3413	2991	4300	6972	18240	19254	2316	754	5665	11412	13611	12617
Unassigned	13682	18642	12154	16911	7248	17135	22314	20642	18519	12173	17476	7057	4625	5467	6549	17648	10271	9792	4448	7194	13840	10016	5339	9613	7723	4581	10488	8677	11161	13424	16297	10335	8632	21078	19018	15175	25439	26367	23267	12857	12206	6208	25804	20457	14579	18546	16632	6577	22835	21872	18434	40740	9966	22333	15099	13368	10541	29668	33060	43916	16469	25076	20290	21309	16608	20676	20480	10301	12836	8433	5271	12239	8778	9413	10767	23427	13506	17073	12006	7594	7650	34569	10518	8229	7795	7404	15310	13801	10223	9587
